Date,Time,Query,Location,Filters,Total Results,Source Breakdown
2026-01-21,10:17:09,digital  head in Delhi NCR,,None,69,Adzuna: 14 | Apna: 14 | Freshersworld: 15 | Hirist: 1 | Indeed: 25
2026-01-21,10:16:58,digital in Delhi NCR,,None,326,Adzuna: 280 | Foundit: 17 | Freshersworld: 6 | Indeed: 15 | Remotive: 8
2026-01-21,10:16:54,digital analytics in Delhi NCR,,None,264,Adzuna: 215 | Foundit: 19 | Freshersworld: 6 | Indeed: 24
2026-01-21,15:56:54,analytics lead,Delhi NCR,None,70,Adzuna: 54 | Foundit: 9 | Freshersworld: 1 | Indeed: 6
2026-01-21,15:56:57,analytics lead,"Delhi NCR, Mumbai",None,91,Adzuna: 75 | Foundit: 9 | Freshersworld: 1 | Indeed: 6
2026-01-21,15:58:39,analytics lead,"Delhi NCR, Mumbai",None,91,Adzuna: 75 | Foundit: 9 | Freshersworld: 1 | Indeed: 6
2026-01-21,15:59:07,ai head,None,None,64,Adzuna: 47 | Apna: 2 | Freshersworld: 7 | Indeed: 8
2026-01-21,16:01:40,ai,None,None,223,Adzuna: 179 | Apna: 1 | Foundit: 6 | Freshersworld: 5 | Indeed: 27 | LinkedIn India: 1 | Remotive: 4
2026-01-21,16:01:46,ai engineer,None,None,461,Adzuna: 449 | Apna: 1 | Freshersworld: 1 | Indeed: 2 | Remotive: 8
2026-01-21,16:04:53,ml engineer,None,None,644,Adzuna: 579 | Apna: 1 | Foundit: 20 | Freshersworld: 12 | Indeed: 24 | Remotive: 8
2026-01-21,16:07:22,ai lead,None,None,227,Adzuna: 186 | Apna: 1 | Foundit: 17 | Freshersworld: 1 | Indeed: 19 | Remotive: 3
2026-01-21,16:09:14,Data Science,Delhi NCR,None,88,Adzuna: 82 | Foundit: 2 | Freshersworld: 1 | Indeed: 3
2026-01-21,16:13:16,Data Analyst,Delhi NCR,None,251,Adzuna: 168 | Foundit: 16 | Freshersworld: 1 | Hirist: 4 | Indeed: 20 | iimjobs: 42
2026-01-21,16:15:33,Data Analyst,"Delhi NCR, Mumbai, Bangalore",None,517,Adzuna: 386 | Foundit: 34 | Freshersworld: 1 | Hirist: 21 | Indeed: 33 | iimjobs: 42
2026-01-21,16:15:48,Data Analyst,Delhi NCR,None,282,Adzuna: 167 | Foundit: 33 | Freshersworld: 1 | Hirist: 6 | Indeed: 33 | iimjobs: 42
